,0,tweet
856964,0,reading a blog. hehe. 
1592884,0,"just got home super tired, as usual. good thing there are no hws and quizzes for tomorrow "
1496351,0,@miquan6999 glad u joined  thx
1237037,0,@omyDezi hell yes were the best lol  i sent u mine save it k
1565526,0,Drivin home so i can get in bed after a long day and wait for the call!! 
826697,0,"thinking of switching to rudy projects... esp since i wear glasses, they have those with lens behind the shades. forget about contacts!!! "
1237692,0,@ichaduma no you're not the only one 
1534225,0,gone out with syafiqah &amp; marfiqa to the library. had so much fun whispering! lol. 
1448796,0,"Just spoken to Joff, think I woke him up actually &amp; he had to sneak into another room tht wasn't full of sleeping men! "
1396843,0,"Don't let 'em fool you, they got dude in them...sportscenter anchor said this about the jonas brothers  nick did good at hosting"
1584514,0,"@jadecraven Aw, sorry to hear that ): Looking forward to the fun stuff! "
1124819,0,http://twitpic.com/6a8ei - nobody cuter than @kristinnoeline while running errands 
1186918,0,Harry Potter 4. didnt know Edward from twilight was in it. 
1140540,0,will start studying/tweeting in two minutes 
976701,0,@katiegb_78 Effing Me Effing You Ahhh Haaa  http://effing.cc
1347705,0,it IS National Donut Day.. free Krispy Kreme 
1288103,0,@OliverStenberg vespa gran lusso sounds kinda cool...are these running trainers? coz you have an 'unworn' pair of nikes 
1227460,0,@SaraACooper sara I hope your day gets better 
1373016,0,@SkourasAgency Thank You Very Much! 
1555618,0,"@SeagullFountain Oh, heavens yes, happy birthday!  Hope it's been wonderful! "
1318280,0,Of course I am Twittering while it is the middle of the night on the East coast - a lot of my norm group is sleeping 
1301712,0,@andywilliameade Yeah!! morning class SHIT!!@paulpitoy @vinnydubidu JUARA lo karokean lg!? salam JAI-HO!! wkwk 
1192199,0,@makenai Haha. Yes. Because you went camping. How demeaning. 
1041632,0,@ddlovato cooL iL be waiting for it  
1003259,0,gaayyy saturday nights party got cancelled..but it's been moved to next weekend from a house to a factory  so keen
1392663,0,@wmmarc thank you  i hope you're well!
1218368,0,@bubble_gum_xox got something against sunscreen?   
1598484,0,OASIS TOMORROW  doing english homework though 
1234502,0,At ihop withj the boy toy. I could get used to this. 
874044,0,"We bought a DS today from Morrisons, only ï¿½65. Emma bought Room 215 playing it now "
929200,0,even a humdrum campus like michigan's seems to don a majestic coat when i lace up my running shoes 
1506644,0,"@auntyagony Yes yes, but not if my bum looks like a zebra a week afterwards "
909948,0,haciendo mi primer app con Thin + Rack + some crazy stuff... 
1023220,0,I bk to my home now but i feeling not well cause i thinking of one !  Where is my hero ?????
1332743,0,"@KDWBradio Whatever kids! Although, I will admit to being absolutely obsessed and singing MmmBop in ohh, elementary school. "
1169177,0,"Goodmorning...I just might be leaving on time for church thismorning, yeah "
902520,0,@TrudyMagnifique haha check out our site its got some good ones too 
1565304,0,@mcasi you missed @amandapalmer sucking off a glass dildo LIVE. oh yeah. it was funzies 
819469,0,@Ownsmoke All time favorite of mine 
1048241,0,@obsalah wishing u the same.. Hope u r getting ready for tmw's trip 
898410,0,"@Jaceyjaden, Oh you're welcome! I have no idea, bfore...anyway thinking about MATTHEW who cooks...oh! he's so adorable! "
965695,0,@Kimmeh88 ooh i love that song  Good job!!
1533711,0,is it home time yet?? this day is dragging and i really dont feel good! 
1330337,0,@ark05 now u can enjoy 2 yrs more...  kanishka bhi pune mein hai
1160231,0,a reaction to @siavogels' Elvis streak. This one is my favorite... (watch the video!!  Great song for in the... ? http://blip.fm/~7d9a0
1111129,0,@espiekermann somehow I knew your iPhone had to be white 
858884,0,@CLTnightlife how many is that?  I'm on #3....ugh!  
1092987,0,chat with my french friend  she comes on thursday uhh so excited 
830758,0,@micah13x I'm going to blow up your phone 
1218484,0,is getting SOOOOOO bored with RC. :-j spending most of my time with tumblr  http://plurk.com/p/xlmz6
1105685,0,@kinagrannis Your mom is really kind thinking about others to bring jackets  BTW wish I could come to your show but it's far from Sweden.
1011121,0,Remember the Liverpool tweet up on the 19th of December 2009 http://www.liverpooltweetup.co.uk go take a look and join us if you can 
1455713,0,@MrHouse1842 April 4th. 
888850,0,heading out shopping today. Mom is boring some money from me to do so. I get it may May 28th/first week of June. Big bucks for me. 
1338268,0,"@TessMorris Hi Tess, ta, u well? "
825797,0,"@lukebourassa you are leaving tomorrow to be closer to me...okay, that's what I want to believe! "
1194070,0,@mileycyrus  you'll be fine!! i voted 
1149253,0,@h Oooooohhhhhh.... I see. Makes sense now. Email it to me 
1593020,0,ive finally kinda figured out how to use this 
1577415,0,PLEASE FOLLOW ME! &amp; HAPPY JONAS DAY! WOOH! LVATT IS INCREDIBLE! I LOVE THE NEW SONGS. THEY REMIND ME OF POP ROCK JAZZ OLD SCHOOL MUSIC! 
1448719,0,buhbye to my workplace!!! ill be going home now.. ill be back tomorrow!!! i have to relax and have some fun this nyt!!  DISCO!!
1550678,0,gonna go bowling with dad  havent been in a while and it will be quality time with him
1263630,0,@jonaskevin My birthday was May 27th like Elvis' 
1341024,0,@JUS_10 thnxxxx!!  missu already!
1324598,0,"http://twitpic.com/6ivm5 - Met Issy at the mall today!  Of course, even if we're away from our hometown, we never forget to see each o ..."
1248306,0,"Consider me siked about The Beatles: Rockband btw. No big fan actually, but the game sure looks fun! And I love me some vocal harmonies. "
1251859,0,Why do I sometimes act like a crazy female?!  I'm a boy - I need to focus on fighting 
1161547,0,@ congo sm sayangkuuuu 
997810,0,is paranormal state real? It's kinda craaaazy 
1543810,0,Out with collin. Meeting up with kev &amp; amanda soon  &amp; I really want to go to broadie's.
1213564,0,Wow bro. The water was good to me today 
1358785,0,cant wait til 6pm hits. then its time for some semo sushi and  then mosaic in sj! 
1128068,0,Going to sleep. Finished 'Twilight' and starting 'The boy book' now. BGT is over and 'Diversity' won! The mad-haired one is the cutest! 
1303802,0,@souljaboytellem iight 
1424903,0,"awww, i finished that stupid history paper. i just need to study for my test. whatever im cupcaking today "
856064,0,Just got back from Woodhill (biking park) it was mint. Had funn   need to keep training though cuz i got a race soon
1236213,0,Relax for a free movie - &quot;The Unity of Spirit and Matter&quot; http://bit.ly/Iq76o  pls enjoy 
886549,0,It's my baby's Birthday   
1502849,0,Watchin Space Balls w/ some of my favorite peeps! 
1409439,0,grad party today.  texttttt meeee
956896,0,Hi all  Saw my friend tonight. He's all okay. Long story but yeah. Thank gosh. I'm all snuggled with sleep tight tea... YEY!
1113904,0,"@Bireka109 Haha, I'm not hiding. I'm at home doing nothing at all. "
1176965,0,@misskate  just saw ur tweet was at the one by the train station!!
1157212,0,292 Fans ON Facebook  Please Join This Group! &quot;The AngeLaFee!&quot;
1133029,0,favorite pandora station ever: &quot;the flaming lips&quot;. it for some reason brings up all my favorites every time. 
1323052,0,"Trying out #Adobe #BrowserLab. Easier, faster solution for cross-browser testing. And slick looking too  http://browserlab.adobe.com/"
1396346,0,"Yesterday was great!...looking forward to today's events, they have yet to be planned! Make it a great day twolks! "
905173,0,"@afwife08 Good Morning, good wakeup music "
1098309,0,Shoot tomorrow... I'm behind the Camera once again 
931922,0,Haha  thanks 
1495447,0,@emmaleigh1779 Bethy cracks me up 
850783,0,"You, Boo "
1435149,0,Showed my dad the leak and he Loled. 
1545541,0,@markusdreamer   Oh for sure!... If our character in Christ is strengthened than all our problems just start turning into opportunities  
1456994,0,@cryst_trueblue heyya hows you ?  you got your tickets =O      x
1477157,0,"good service, In a wonderful mood about to go change and go to the lake with my pookies "
1344016,0,at tv bar. dunno how i feel about it but the music is good. 
952552,0,"@ steveterada hahah represent, you party animal! i love it "
1110766,0,Goodnight! 
1185956,0,@JonathanRKnight better airport luck this time babe  be safe
1024726,0,"@Pam812 Ahh, your sweet, Thank you. "
857513,0,Morning. It's too early  but  i have  a doctor's appointment today
1102087,0,"@cassandra2603 haha They did seem have a different accent  *glares* .  and yeah, I wanna know what they would have said if I had said yes."
1540052,0,"Love hyun joong,like love with sooomay "
1556149,0,"@wsampaio thnx, man. Using IntelliJ too? Apparently it was detected w no problems but I nvr used an IDE that calls my metadata by facets. "
1216288,0,Good lunch 
1077768,0,"@jenn_if_er true! Have u worn them lately?  btw, Way Out is still alive!"
1285524,0,just got a dress in the mail! Oooh  #fb
1508288,0,@shanellove Pshhh w.e aren't you like 2 feet tall and @xelena is like a feather 
1542236,0,@faith_elizabeth this ish is confusing...still getting the hang of it  
1358778,0,"on my phone now, watching it rain while @garnuth installs the Chinese lanuage softwares on my mac, yay! "
1220440,0,It's gonna be 13 degrees colder in LA than it will be in Wilmington today. 
1127673,0,@cazp09 debbie messaged tom about it  i so hope they go out there  xxxx
1216260,0,"@peachypeach05 nak, haven't watched the trailer but let's watch!  haha kung wala ka lang kasama... ;P"
1368606,0,@copyblogger M&amp;M's = Music and Marketing 
981485,0,@kenneyjacob advani on orkut and othr google ads...i hated it!! Now i am HAPPY 
1350847,0,so to lose something close is often the best way of discovering what is most important 
1492224,0,"@captain_erika ooc What can I say, I thought it looked cool. "
859374,0,"@RachelMcAdams_ Ok, got that out of my system.  Please go on and be happy whoever it WILL be.  "
1037796,0,"Photo: And with this, I will go to sleep, lol. Night  http://tumblr.com/x7f1wa2jf"
1006200,0,Loving Mediafire...I can get fast download compare to megaupload 
1219325,0,&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail???I want to write with you but I cant 
1109798,0,"@ilovemytroopsIm a mom-  all I ask is that you eat all your veggies,&amp; look both ways before you cross the street. Do untie Santa though "
1288653,0,Bon aprem les Gus  http://www.deezer.com/track/361702
1310319,0,@catrese33 http://twitpic.com/4f9un - Damn this pic nice as hell 
1262420,0,"Just got out of the swimming pool, about to eat dinner "
1158594,0,@sugree http://twitpic.com/6bodo - ?????????? 
1032410,0,Sweet dreams Sunshine 
864437,0,Kenapa weekend mall sll rame?? Bayar makan aja ngantri! Thank god I have twitterberry in my phone.. 
1366101,0,going to watch hotel for dogss 
1230265,0,@DJROLIRHO excellent  I'm meeting a new client today!!
801540,0,Having a pleasant convo with my momma boutr hurting people  lol
1374446,0,is watching her favorite tv show The Soup! It looks like a good one tonight!! 
885285,0,"@heathwiggins Oh righto. Haha, I've never even watched the show before. "
986106,0,@joegreenz You've lost me there sorry.Even googling didn't help 
1030956,0,I'm gonna take a hot bath and read until its wayyyy past my bedtime!! 
1284941,0,Todays to-do's: try finish #GuitarHero World Tour with the guitar on Expert OR play some #ResidentEvil 4. And eat a lot of sambos! 
1466567,0,@rainbowglow I'm supposed to be having dinner with @fffatima  no sure when though lol!!!
867220,0,"@archiedorable ow that's ok dear .. ! btw, buy the may issue of @TotalGirlph magazine !  so awesome .. it has @DavidArchie poster !"
1125591,0,@vanes how cool! Did you study dtp / design? I want to do that too  thinking about graphic design. What company do you work for?
1220453,0,@CharlieMoos Woo! Super excited that this could actually happen!! 
1299985,0,I can't even DEAL! WHY ARE FOLKS SO FINE! mahasha 
1261404,0,@CAfilly gettin all csi on us ! 
1227914,0,@iamlauren gusto ko makita muna kasi yung assessment.  ang boplaks ng s1 ngayon..i mean...mas naging boplaks. :|
1437836,0,Reagan's graduation ceremony was better than expected. A lot of happy people  including me!
974779,0,"@SuperwomanAK Brownies: Brownies can make anything better. Take notes, lady! "
1324770,0,Yun it was for Laura she wanted to know 
1361063,0,I just rode in my aunts new jag 
1330838,0,@ExMi yay! well done cookie 
1598397,0,@JohnoSal I am so voting for you to stay on!! how dare you think of going home! 
982560,0,one of my deviantart friends has made a gorgeous faerie picture with one of my fractals as a background. I'm bouncing..it's lovely! 
1074589,0,"@reesp oh dear, time for email then "
975122,0,is currently typing this on her PS3!!! 
1357191,0,@ddlovato WOW!! Camp Rock 2!! Can't wait!! Is it true the storyline is about rival camps???  ily xxx
1498923,0,"@ShreksterOnline  can you add me? and tell cameron that stephanie said hey and that she, jeremy, and both casts did great!! "
1156717,0,@nitonale you beat me to saying something along those lines 
1120255,0,"Getting ready for a party at 3, and possibly another 8 "
1460524,0,"@lrz Yeah, I'm in SF now, I'm looking forward to meet you.  Do you have a conference session or party on Wednesday?"
1292867,0,"@lukeredpath That said, I suspect if ITV had bought the format wholesale from the US, it would be just as bad, yeah "
1482941,0,@JEWNNBUGG hey doll! How ya feeling? 
1599113,0,@kylieireland lay back down and i will rub your back and feet until you are ready to get up 
1361058,0,"With Ciara, been a long week liking the start of my GCSE's though  going to be a fab weekend, wool woop &lt;3"
902849,0,I totally needed that sleep.  need to stretch and wash though now.
1084486,0,"@sontek The &quot;&gt; of file&quot; issue was recently fixed, I believe.  One of the fun side-effects of mixing and matching WPF and win32 "
1550921,0,Busy week! Gotta get things ready for my party 
1012730,0,@Coffebean2003 See the fb incarnation of this post 
970588,0,Going for a run!!! 
1136709,0,Feeling better now I know cause I'm hungryyyy  about to do laundry make food and watch star wars empire strikes back
1060960,0,Listening to Rich Sanchez on CNN. Good listening.  He's on here. Follow him Folks! 
848484,0,Can't wait to see the new Fast and the Furious movie tomorrow 
867216,0,Stephen Fry walking in the footsteps of Stephen Dedalus ... Very apt... 
1002403,0,"@aparajuli cool! I love free work drinks. Don't get too wasted  no, screw it - party hard, u only live once!"
1238865,0,"@cherylp3 heh Todd must have told you my question. Lol, just noticed u've been going vegan crazy lately, he explained the reason to me "
1388976,0,Vacation extended!! Woohhhoooooo!!  more...basketball?
1403244,0,weird things happen when u wake up before noon!!!like falling in love 
1427820,0,Came home from a beer night out peckish so i made some pasta with pesto and parmesan and a cup of tea. Worked a treat. 
821671,0,in &quot;boca del rï¿½o&quot; beach. in southern Peru. a nice and peaceful place with some friends.    
1507041,0,@JonathanRKnight If you are still up....you should give a shout out to @knightsdrkangel  She &lt;3's you!
1427447,0,@WilliamsWest Could you blog this for us? http://vimeo.com/4831081 streettalktv.co.uk. Thanks in advance 
937531,0,I changed my Firefox persona background into a Cherry Blossom design. It looks nice~ 
1469066,0,@gloriabell Happy Sunday to you Gloria!! 
1445397,0,I mean if there's ever been an excuse to just say fuck evrything and drink welp I think i'd have that reason  See you in the morn Twits
1439897,0,"@chrisspooner http://twitpic.com/6nxqt - Hahaha, those are amazing! "
1535627,0,"Morning Lovers, Haters, Winners, Losers, Geeks, and trolls! I Love You ALL! Have a great day! xo "
1511822,0,bye twits ..gotta go ..i'LL be back S0000n !! haha 
1038897,0,Today's MMTZ: The Thank you song   http://bit.ly/tyhom #music via @musicstall
1507664,0,studying for spanish quick then going to bed 
1552849,0,@Whatever_Ista oh sounds good. no worries hehe 
1553117,0,@joelmadden http://twitpic.com/7h647 - Omg you are actually smiling! You look so freaking cute! Love you 
1092494,0,Good morning all 
890904,0,@churroboy i just went there for the second time this weekend 
1169740,0,Where oh where has my little dog gone oh where oh where can it be? &lt;- I dont think I got that right? 
862927,0,@jamesdylan1988 james pls take care since you are travelling..take precautions.. 
1599973,0,http://twitpic.com/7jp4n - OMG! Office Space... I wanna steal it. 
1142440,0,@dda Yup I announced my head shaving late last night. I've always hated my hair &amp; finally cut it all off 
1505588,0,At Missie B's enjoying the last night of Gay Pride with a drag show 
1319757,0,@Tyrese4ReaL Have a great night. 
1263644,0,"Took my grandpa out today! It was fun! Then had dinner with both my grandparents, my mom and Diwana! Good day, but boy I'm I tired! lol "
1018223,0,#followfriday @vene2ia @actionchick @Luuyaland @Sarahndipitous @murnahn @davidjlowe @quotesnack (via @americandream09) Thank you!! 
982555,0,"@MadamSalami :O i loves hello kitty,found a nail varnish&amp;emry board in the squid shop on friday  think ill just get a normal plug for now"
933333,0,@csoto we're 78 and 82! weeeeee 
1570245,0,"@RandomNickname A reboot fixed it. No worries.   Weird, though!"
1032280,0,@slightlyfamous how many more then you're done? 
1209944,0,"@terrcin You're lucky, the mountain was in the clouds the whole time we were near it "
1067685,0,@1WineDude very smart dog 
1174189,0,Staying up late to fix my damn profile . 
1111339,0,have made cupcakes will try and a post a pic using the twit pic thing 
1376442,0,@T_H_F You're welcome... I guess...   Do let me know what it is.
1058765,0,HEADS UP: PCBC will be  @ Moscone Center San Francisco from June 17-19 - see you there!   http://bit.ly/gQbD5
1459623,0,"@URIENATOR oh, im prepared ;D i have a pack of condoms and everything "
1228015,0,"Cap'n Crunch mixed with Cinnamon Life cereal &amp; lactaid milk for breakfast, "
1272008,0,Laying out some rain pages... working on an Image Comics proposal... 
1325154,0,@jshe thanks  sweet dreams!
1437183,0,"@ohhcrapitstim oh well, if you ever go on wi-fi on mario kart. Just @reply me and ill join you. "
1045792,0,"@nadianeo He's a cutie, not a bad voice either "
1020427,0,New blog about FreeKibble by yours truly - takes 15 seconds to click and donate...free to you!  http://bit.ly/WOG7m
1204823,0,@ticia42 Thank you! 
1545457,0,I'm starving but it's almost time to head home. Wed. is the day. 
946730,0,@danfaust I heart you too 
901198,0,@prateekgupta yeah.. gives me something useless to crib abt 
1062997,0,"@sarawhat i've never been, but you totally should. what's the worst that could happen? "
1461010,0,Mp3center.si reached 370 fans on facebook 
1365545,0,"@stinkerpants Trick is to cook twice. Lower temp to cook thru, then high temp 4 short time to get crispy outside "
1048673,0,@sandracha wow. you update a lot 
1380765,0,@Jessicaveronica hello Jess ;D look at this http://i40.tinypic.com/29zy1dt.jpg i did avatar for u  http://twit.. http://tinyurl.com/p2 ...
958335,0,On my way back to England and may of found my new career 
1058907,0,"Laying out at the pool with nelli, @chanel_latrice, @msmaria22, tristan and annie "
1052199,0,Sushi with Lydia 
1207025,0,"Well hello there, new followers. Have to go write a real story now. "
848922,0,schools is finaly done so now its time for chilling 
812045,0,"ok, house clean, now for cleaning up me then off to the grocery store, then back to finish up some projects "
1136163,0,@taylorswift13 but then you'll only be burned out - and we can't have that!! 
1266560,0,"i wonder if xbox project natal will spawn a line of exercise games, to compete with wii fit.  maybe I should make one "
940562,0,@leeye I realized that tweeting on iPod is way more enjoyable than on a desktop. 
1331672,0,"Looking forward to hearing President Obama's speech in my homeland of Cairo, Egypt! "
947468,0,@dannygokey we love you to Gokey Guy! 
1180203,0,At home.. about to go out in the sun.. 
1589051,0,"Getting ready for work...ready for another great workout already, too! "
1168494,0,"@AndrewGrill yeah, small and annoying  I should learn to log out really "
811522,0,@djberg must have been one heck of a cloud because it's falling here 
984997,0,"@sohailanjum Just bought &quot;Fairytale&quot; off iTunes  If anyone knows where I can buy &quot;Foolin'&quot; from, lemme know! I want that track!!"
978663,0,@cambam19 me too. and I love you crazy peeps. hahaha 
852157,0,"Okay folks, time for bed........again.... Have a great night "
1271440,0,@vaxen_var More complex than I thought. Not tonight  Do you think it has any validity or were you being sardonic?
1588628,0,"@chrev Firestone was Resurrector, Beck was The Advisor, Kernal: Vigilante, Four Killers and you know what you were "
1451870,0,Watching skinsssss. Haven't eaten today  Hope I don't binge.
